순번,설치장소,구분,부스형별,연식,지번주소,개소수,경도,위도
1,명성아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 고랑동 820-21,1,127.078086,35.876767
2,일성약국앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 1547-8,1,127.138679,35.842844
3,소방서앞,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 금암동 1548-19,1,127.135878,35.841996
4,벧엘신경외과앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 1554-3,1,127.138597,35.841083
5,이영환가정의학과앞,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 금암동 1560-1,1,127.138423,35.839078
6,금암동시립도서관/1층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 1569-1,1,127.140125,35.836283
7,두산프라자입구,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 금암동 1587-109,1,127.140272,35.842614
8,백제로사거리,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 금암동 1589-4,1,127.13966,35.843079
9,푸른안과앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 1591-24,1,127.140382,35.843341
10,금암2동파출소앞,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 금암동 1597-8,1,127.143632,35.843478
11,분수대,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 금암동 454-2,1,127.135905,35.834301
12,엘림신경정신과의원,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 454-6,1,127.13613,35.833971
13,인켈카오디오앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 금암동 456-1,1,127.135167,35.833184
14,금암동전북은행앞,옥외,FRP 하단개방형,1연식,전라북도 전주시 덕진구 금암동 457-6,1,127.135106,35.834027
15,중고차매매,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 금암동 459-1,1,127.134197,35.834081
16,금암파출소건너,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 470-16,1,127.134203,35.836441
17,기린로대성학원옆,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 511-4,1,127.13764,35.833628
18,금암초등학교,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 금암동 522-1,1,127.136481,35.836984
19,KBS사거리,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 522-69,1,127.136584,35.83619
20,금암우체국앞,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 금암동 522-93,1,127.136112,35.835909
21,전북의대입구,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 금암동 632-153,1,127.1427,35.846953
22,전북의대/버스승강장,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.140121,35.846073
23,전북의대/본관2층,옥내,사제형,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.140121,35.846073
24,전북의대/본관3층,옥내,사제형,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.142699,35.846965
25,전북의대/본관4층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.142699,35.846965
26,전북의대/본관5층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.142699,35.846965
27,전북의대/본관6층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.142699,35.846965
28,전북의대/응급센타1층,옥내,사제형,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.135481,35.842732
29,전북의대/응급센타2층,옥내,사제형,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.135481,35.842732
30,전북의대/응급센타3층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.135481,35.842732
31,전북의대/응급센타4층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.135481,35.842732
32,전북의대/응급센타5층,옥내,부스무,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.135481,35.842732
33,전북의대/응급센타6층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.135481,35.842732
34,전북의대/장례식장지하,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.140878,35.849029
35,전북의대/정신과,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.140121,35.846073
36,전북의대/현관,옥내,목재탁상형,1연식,전라북도 전주시 덕진구 금암동 634-18,1,127.140121,35.846073
37,금암파출소옆,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 금암동 697-8,1,127.133712,35.836175
38,공용터미널/하차장,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 금암동 700-7,1,127.131309,35.834723
39,공용터미널건너,옥외,FRP 비방음,3연식,전라북도 전주시 덕진구 금암동 706-5,1,127.131623,35.833903
40,경기장사거리,옥외,FRP 방음,3연식,전라북도 전주시 덕진구 금암동 709-12,1,127.12944,35.840107
41,전북일보앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 710-5,1,127.130856,35.839079
42,방통대입구,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 711-12,1,127.130524,35.838447
43,한국병원,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 728-38,1,127.133638,35.84147
44,송백장앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 금암동 752-17,1,127.129943,35.837509
45,고속1층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 767-2,1,127.129073,35.835013
46,고속2층,옥내,사제형,1연식,전라북도 전주시 덕진구 금암동 767-2,1,127.129073,35.835013
47,고속천변,옥외,세이프존_공중전화부스G,3연식,전라북도 전주시 덕진구 금암동 767-2,1,127.129023,35.834942
48,고속천변,옥외,세이프존_공중전화부스G,3연식,전라북도 전주시 덕진구 금암동 767-2,3,127.129023,35.834942
49,광주고속건너,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 금암동 768-10,1,127.128412,35.835166
50,공용터미널앞,옥외,FRP 방음,3연식,전라북도 전주시 덕진구 금암동 796-5,1,127.132463,35.834713
51,공용터미널앞,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 금암동 796-5,2,127.132463,35.834713
52,공용터미널앞/한진공용,옥내,벽걸이,1연식,전라북도 전주시 덕진구 금암동 796-5,1,127.132463,35.834713
53,경기장내,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 덕진동1가 1220-1,1,127.124805,35.839442
54,말일성도교회앞,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 덕진동1가 1261-4,1,127.126541,35.843473
55,전북대구정문옆,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1262-30,1,127.126349,35.84292
56,덕진성당앞,옥외,FRP 비방음,3연식,전라북도 전주시 덕진구 덕진동1가 1262-7,1,127.125788,35.842899
57,일양병원앞,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 덕진동1가 1265-12,1,127.127142,35.84163
58,전주문구앞,옥외,세이프존_공중전화부스G,3연식,전라북도 전주시 덕진구 덕진동1가 1266-20,1,127.126496,35.842447
59,전주문구앞,옥외,세이프존_공중전화부스G,3연식,전라북도 전주시 덕진구 덕진동1가 1266-20,3,127.126496,35.842447
60,북대입구,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1267-10,1,127.125396,35.842126
61,북대앞지하보도,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 덕진동1가 1267-20,1,127.126155,35.84168
62,kt북전주지사앞,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1274-1,1,127.123214,35.842461
63,덕진파출소사거리,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1275-19,1,127.124659,35.842787
64,덕진우체국,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1276-10,1,127.124686,35.843422
65,덕진터미널/매표소,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 덕진동1가 1278-2,1,127.124213,35.844008
66,경기장앞(세이프존),옥외,세이프존_공중전화부스G,3연식,전라북도 전주시 덕진구 덕진동1가 1283-2,1,127.126314,35.840879
67,경기장앞(세이프존),옥외,세이프존_공중전화부스G,3연식,전라북도 전주시 덕진구 덕진동1가 1283-2,3,127.126314,35.840879
68,전라북도체육회관,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 덕진동1가 1283-2,1,127.126314,35.840879
69,전라북도체육회관,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 덕진동1가 1283-2,2,127.126314,35.840879
70,콜마트앞,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1314-154,1,127.124272,35.845011
71,크로바편의점앞,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1314-205,1,127.125698,35.844121
72,덕진공원/관리소옆,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1316-2,1,127.12304,35.84878
73,덕진공원/그네옆,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동1가 1316-2,1,127.12304,35.84878
74,덕진공원/요트장,옥외,FRP 방음,1연식,전라북도 전주시 덕진구 덕진동1가 1316-2,1,127.12304,35.84878
75,덕진공원앞,옥외,일반A형 SV-1,1연식,전라북도 전주시 덕진구 덕진동1가 1316-2,1,127.12304,35.84878
76,덕진공원앞,옥외,일반A형 SV-1,1연식,전라북도 전주시 덕진구 덕진동1가 1316-2,2,127.12304,35.84878
77,전북대/기숙사/2층,옥내,부스무,1연식,전라북도 전주시 덕진구 덕진동1가 1327-37,1,127.127657,35.851127
78,kt북전주지사건너,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동1가 1402-27,1,127.122968,35.843098
79,법원앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 덕진동1가 1407-2,1,127.120609,35.84022
80,법원/민원실,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 덕진동1가 1416-1,1,127.119183,35.840845
81,체신아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동1가 1547-89,1,127.119612,35.838112
82,연화마을,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동1가 654-22,1,127.132165,35.853803
83,실내체육관앞,옥외,FRP 방음,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.129264,35.844208
84,전북대/2도서관,옥외,FRP 지체비방음1형,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.1357,35.847224
85,전북대/2도서관,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 덕진동1가 664-14,2,127.1357,35.847224
86,전북대/공대,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.132603,35.846571
87,전북대/공대매점,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.132277,35.846966
88,전북대/공대매점,옥외,FRP 지체비방음,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,2,127.132277,35.846966
89,전북대/본관1층,옥내,부스무,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.131332,35.84437
90,전북대/상대1호관앞,옥외,FRP 지체비방음,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.1339,35.844724
91,전북대/상대2호관,옥외,FRP 지체비방음,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.135303,35.84473
92,전북대/신정문,옥외,FRP 비방음,3연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.131713,35.841057
93,전북대/우체국,옥내,벽걸이,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.132005,35.846257
94,전북대/중앙도서관,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,1,127.131905,35.848236
95,전북대/학생회관,옥외,FRP 지체비방음1형,1연식,전라북도 전주시 덕진구 덕진동1가 664-14,2,127.128113,35.845843
96,소리문화/국악당옆,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 덕진동1가 산1-1,1,127.13933,35.854681
97,소리문화/대극장광장,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 덕진동1가 산1-1,1,127.13933,35.854681
98,소리문화/입구,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 덕진동1가 산1-1,1,127.13933,35.854681
99,체련공원,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 덕진동1가 산1-14,1,127.139839,35.854017
100,호야주택,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 덕진동2가 133-1,1,127.114615,35.847754
101,원대한방병원/1층,옥내,사제형,1연식,전라북도 전주시 덕진구 덕진동2가 142-1,1,127.116208,35.846994
102,덕진오성유토피아,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 덕진동2가 20,1,127.11604,35.852521
103,덕진중학교입구,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 덕진동2가 220-1,1,127.119866,35.846084
104,전일슈퍼앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 덕진동2가 70-4,1,127.114564,35.84935
105,덕일초등학교3층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 덕진동2가 99-1,1,127.111906,35.84892
106,대승아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 동산동 459-3,1,127.082199,35.871401
107,동산우신아파트,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 동산동 643,1,127.081868,35.872224
108,동산우체국앞,옥외,FRP 비방음,3연식,전라북도 전주시 덕진구 동산동 690-2,1,127.076295,35.87256
109,북전주농협앞,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 동산동 694,1,127.077338,35.871414
110,반월주공아파트,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 반월동 1229,1,127.07286,35.872263
111,반월삼오아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 반월동 374-4,1,127.068984,35.872966
112,남양반월타운,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 반월동 382,1,127.071173,35.872893
113,반월한강아파트,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 반월동 386-7,1,127.070987,35.873686
114,대창하이빌아파트,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 반월동 422-1,1,127.071144,35.875201
115,월드컵/남측매표소,옥외,옥외사제형,2연식,전라북도 전주시 덕진구 반월동 763-1,1,127.06354,35.868008
116,월드컵/동측매표소,옥외,옥외사제형,5연식,전라북도 전주시 덕진구 반월동 763-1,1,127.066826,35.867641
117,송천신일아파트,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 송천동1가 101-3,1,127.127983,35.862473
118,광진한솔아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동1가 108,1,127.124478,35.861488
119,송천우림아파트,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동1가 117,1,127.12559,35.861727
120,전라고앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동1가 120-17,1,127.123165,35.859839
121,송천진흥더블파크정문,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 송천동1가 12-10,1,127.132442,35.863921
122,송천진흥더블파크후문,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 송천동1가 12-10,1,127.132442,35.863921
123,송천영창드림랜드아파트,옥외,FRP 방음,1연식,전라북도 전주시 덕진구 송천동1가 123-12,1,127.122691,35.858992
124,전라고/현관,옥내,부스무,1연식,전라북도 전주시 덕진구 송천동1가 137-25,1,127.124772,35.859985
125,송천현대아파트2차,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동1가 141,1,127.127878,35.86134
126,송천오성비둘기아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동1가 213,1,127.122611,35.856332
127,제일센트럴파크2단지,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 송천동1가 308-1,1,127.117174,35.853981
128,송천서호2차아파트,옥외,FRP 방음,2연식,전라북도 전주시 덕진구 송천동1가 329,1,127.117782,35.857084
129,송천서호아파트,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동1가 348-2,1,127.118787,35.855575
130,송천동성약국앞,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동1가 385-4,1,127.120005,35.856238
131,송천라이프주택,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동1가 417,1,127.118761,35.85926
132,송천비사벌1단지,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동1가 464-6,1,127.118807,35.860036
133,전라고사거리,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동1가 478-3,1,127.121549,35.859961
134,국민은행송천점앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동1가 481-6,1,127.120962,35.860177
135,국민은행송천점앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동1가 481-6,2,127.120962,35.860177
136,송천우체국앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동1가 488-2,1,127.121809,35.861254
137,성원무지개아파트,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 송천동1가 543-2,1,127.119794,35.864177
138,송천한양아파트,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동1가 605-4,1,127.112982,35.860393
139,송천제일아파트앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동1가 626-3,1,127.11585,35.860408
140,GS송천자이아파트,옥외,옥외사제형,1연식,전라북도 전주시 덕진구 송천동1가 806,1,127.119031,35.865948
141,송천시영아파트,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동2가 1221,1,127.112379,35.868552
142,송천주공아파트관리실앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동2가 1268,1,127.125439,35.867345
143,송천주공아파트복합상가,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 1268,1,127.127021,35.868382
144,송천주공아파트후문,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동2가 1268,1,127.124626,35.866832
145,송천주공2차아파트,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 1280,1,127.125864,35.865041
146,송천시립도서관1층,옥내,벽걸이,1연식,전라북도 전주시 덕진구 송천동2가 168-5,1,127.128231,35.869323
147,송천현대아파트1차,옥외,FRP 방음,1연식,전라북도 전주시 덕진구 송천동2가 189-2,1,127.124748,35.864427
148,송북초등학교앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동2가 189-9,1,127.123921,35.863974
149,송천비사벌2단지,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 197-2,1,127.122964,35.865795
150,송천동서로마트앞,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 216-6,1,127.126102,35.866455
151,송천현대3차아파트정문,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동2가 285,1,127.1285,35.866716
152,송천현대3차아파트후문,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 송천동2가 285,1,127.12959,35.86814
153,35사단/206항공대,옥외,1541방음형,1연식,전라북도 전주시 덕진구 송천동2가 377-17,1,127.118778,35.876853
154,35사단/206항공대,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 377-17,1,127.118778,35.876853
155,35사단/506항공대,옥외,1541방음형,1연식,전라북도 전주시 덕진구 송천동2가 377-17,2,127.118778,35.876853
156,농산물공판장/수협,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 492-36,1,127.11715,35.869169
157,농산물공판장/원협,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 506-1,1,127.117783,35.868662
158,현대자동차송천점앞,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 송천동2가 522-1,1,127.121889,35.866234
159,송천대명아파트,옥외,FRP 일반1형,2연식,전라북도 전주시 덕진구 송천동2가 530-3,1,127.113867,35.862905
160,송천쌍용2차아파트,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 송천동2가 536,1,127.112647,35.864063
161,송천롯데아파트,옥외,FRP 하단개방형,1연식,전라북도 전주시 덕진구 송천동2가 561-19,1,127.113862,35.867272
162,송천롯데아파트앞,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 송천동2가 561-19,1,127.113411,35.866691
163,송천동아아파트상가앞,옥외,FRP 일반1형,1연식,전라북도 전주시 덕진구 송천동2가 561-24,1,127.113411,35.866691
164,농산물공판장/다농,옥외,FRP 비방음,1연식,전라북도 전주시 덕진구 송천동2가 587-5,1,127.11623,35.86725
165,면허시험장/내,옥외,FRP 비방음,2연식,전라북도 전주시 덕진구 여의동 1136,1,127.070546,35.861586
166,여의동국아파트,옥외,FRP 방음,1연식,전라북도 전주시 덕진구 여의동 582-1,1,127.075632,35.870618
167,동산공영아파트,옥외,FRP 하단개방형,2연식,전라북도 전주시 덕진구 여의동 639-2,1,127.074819,35.868672
