의료기관명,개설자명,의료기관우편번호(도로명),의료기관주소(도로명),병상수,전화번호,팩스번호,의료기관종별,,,
우리노인전문병원,정*****,54876,전라북도 전주시 덕진구 정여립로 978 (만성동),166,063-210-3600,,노인병원,,,
전주샘물아동병원,박*****,54969,"전라북도 전주시 완산구 세내로 285, 샘물아동병원 5층 (효자동3가)",50,063)230-7200,063-224-3550,병원,,,
온누리안과병원,문*****,54972,"전라북도 전주시 완산구 백제대로 325, 온누리안과 (중화산동2가)",30,063)277-2774,,병원,,,
박종혁믿음병원,박*****,54969,전라북도 전주시 완산구 홍산로 250-0 (효자동3가),75,063-224-5100,,병원,,,
전주문병원,문*****,55082,"전라북도 전주시 완산구 용머리로 106-0, 0동 (효자동1가,전주문병원)",40,063286-0000,,병원,,,
전주다솔아동병원,김*****,54966,"전라북도 전주시 완산구 우전로 250, 2~4층 (효자동2가)",72,063280-0800,,병원,,,
더세움병원,양*****,55019,전라북도 전주시 덕진구 서가재미2길 7 (인후동1가),128,243-9100,,병원,,,
의료법인영경의료재단호성전주병원,이*****,54902,전라북도 전주시 덕진구 동부대로 895 (호성동1가),128,063-240-8800,,병원,,,`
유앤미 병원,김*****,54954,전라북도 전주시 완산구 백제대로 361 (서신동),57,063-279-1500,,병원,,,
전주신세계정형외과병원,황*****,54838,전라북도 전주시 덕진구 송천중앙로 125 (송천동1가),51,063-270-1900,,병원,,,
미르피아 여성병원,박*****,55065,전라북도 전주시 완산구 쑥고개로 343 (효자동2가),56,063-211-1004,,병원,,,
전주우리들병원,진*****,55079,전라북도 전주시 완산구 쑥고개로 398-16 (효자동2가),90,063-715-3700,,병원,,,
온고을재활의학과병원,임*****,55097,전라북도 전주시 완산구 완산길 100 (서완산동1가),100,710-3300,,병원,,,
전주항병원,전*****,,전라북도 전주시 완산구 안행8길 56-7 (삼천동1가),37,228-6002,,병원,,,
드림솔병원,정*****,,전라북도 전주시 완산구 천잠로 507 (효자동3가),178,250-8000,,병원,,,
삼남재활의학과병원,김*****,,전라북도 전주시 완산구 영경3길 6 (중화산동2가),121,063-222-8080,,병원,,,
참병원,김*****,55093,전라북도 전주시 완산구 백제대로 114 (효자동1가),99,220-0600,,병원,,,
유로병원,최*****,,전라북도 전주시 완산구 효자로 169 (효자동3가),43,231-6565,,병원,,,
전주시티병원,이*****,54969,전라북도 전주시 완산구 세내로 277 (효자동3가),150,063-239-0116,,병원,,,
전주우리병원,김*****,55093,"전라북도 전주시 완산구 백제대로 140, 4,5층 (효자동1가, 효자메디컬프라자)",47,063-710-3130,,병원,,,
미르아동병원,송*****,55105,전라북도 전주시 완산구 백제대로 100 (효자동1가),56,063-229-0114,,병원,,,
수병원,이*****,54965,전라북도 전주시 완산구 서원로 63 (효자동2가),236,063-251-7200,,병원,,,
으뜸병원,김*****,55126,전라북도 전주시 완산구 모악로 4678 (평화동2가),78,063-220-3300,,병원,,,
다사랑병원,양*****,55105,전라북도 전주시 완산구 백제대로 74 (삼천동1가),94,063-228-5540,,병원,,,
전주21세기병원,최*****,54840,전라북도 전주시 덕진구 송천중앙로 43 (덕진동2가),120,063-270-5200,,병원,,,
본병원,김*****,54970,전라북도 전주시 완산구 유연로 276 (중화산동2가),124,063-220-0300,,병원,,,
한양병원,김*****,55122,전라북도 전주시 완산구 장승배기로 204 (평화동1가),123,063-220-5000,,병원,,,
엠마오사랑병원,윤*****,55046,전라북도 전주시 완산구 서원로 402-35 (중화산동1가),105,063-232-8881,,병원,,,
전주우석병원,서*****,54987,전라북도 전주시 완산구 어은로 46 (중화산동2가),30,063-220-8300,,병원,,,
전주기독병원,조*****,,"전라북도 전주시 완산구 거마평로 185 (효자동1가,398-5)",206,220-7000,,병원,,,
허병원,허*****,54899,전라북도 전주시 덕진구 조경단로 103 (금암동),69,063-254-5599,,병원,,,
전주선요양병원,오*****,54992,전라북도 전주시 완산구 노송여울2길 134-0 (서노송동),240,063278-8008,,일반요양병원,,,
우리들사랑요양병원,오*****,54965,"전라북도 전주시 완산구 우전로 241, 우리들사랑요양병원 (효자동2가)",234,063-711-1300,,일반요양병원,,,
아중요양병원,장*****,55023,전라북도 전주시 덕진구 아중로 223-0 (우아동2가),404,063-714-8888,,일반요양병원,,,
포도나무요양병원,이*****,54910,전라북도 전주시 덕진구 백제대로 822 (우아동3가),182,063241-6700,,일반요양병원,,,
한빛의료소비자생활협동조합 행복나라요양병원,최*****,54810,전라북도 전주시 덕진구 번영로 462 (반월동),247,063-211-2277,,일반요양병원,,,
해맑은요양병원,나*****,55000,전라북도 전주시 완산구 팔달로 202-15 (경원동3가),134,063231-1100,,일반요양병원,,,
예송요양병원,강*****,54983,전라북도 전주시 덕진구 전주천서로 337 (진북동),176,063-250-9100,,일반요양병원,,,
행복한요양병원,최*****,54894,전라북도 전주시 덕진구 백제대로 700 (덕진동1가),169,240-7000,,일반요양병원,,,
더숲요양병원,이*****,55114,전라북도 전주시 완산구 흑석2길 22 (서서학동),296,063-230-2000,,일반요양병원,,,
중앙요양병원,정*****,54934,전라북도 전주시 덕진구 가리내로 23 (금암동),149,063-250-6101,,일반요양병원,,,
의료법인건강나라의료재단 건강나라요양병원,이*****,55135,전라북도 전주시 완산구 맏내로 114 (평화동2가),299,063-225-0880,,일반요양병원,,,
효성의료재단 새전주요양병원,허*****,54850,전라북도 전주시 덕진구 여암1길 37 (여의동),188,063-213-8275,,일반요양병원,,,
학산요양병원,서*****,55119,전라북도 전주시 완산구 덕적골3길 55 (평화동1가),299,230-2900,,일반요양병원,,,
의료법인 옥성의료재단 골든카운티 요양병원,이*****,55144,전라북도 전주시 완산구 중인1길 136-20 (중인동),208,063-221-7676,,일반요양병원,,,
의료법인 디딤의료재단 우리요양병원,박*****,54914,전라북도 전주시 덕진구 안덕원로 291 (인후동1가),332,063-714-3838,,일반요양병원,,,
만인요양병원,박*****,54816,전라북도 전주시 덕진구 발단길 5 (송천동2가),199,063-273-0075,,일반요양병원,,,
한솔요양병원,김*****,55132,전라북도 전주시 완산구 장승배기로 46 (삼천동1가),330,063-228-1122,,일반요양병원,,,
전주 정드림요양병원,최*****,54823,전라북도 전주시 덕진구 솔내로 148 (송천동1가),163,063-276-7122,,일반요양병원,,,
나은요양병원,안*****,54852,전라북도 전주시 덕진구 기린대로 951 (여의동),213,063-715-2300,,일반요양병원,,,
한빛의료소비자생활협동조합 마음편한요양병원,최*****,54850,전라북도 전주시 덕진구 쪽구름로 87-1 (반월동),287,063-714-25000,,일반요양병원,,,
사랑요양병원,안*****,55120,"전라북도 전주시 완산구 덕적골1길 69, 전주사랑병원 (평화동1가)",209,063-282-1600,,일반요양병원,,,
의료법인 효일의료재단 나눔요양병원,신*****,54986,"전라북도 전주시 완산구 선너머2길 4, 전주나눔요양병원 (중화산동1가)",299,063-276-7000,,일반요양병원,,,
연수요양병원,송*****,55072,전라북도 전주시 완산구 쑥고개옛길 118 (삼천동3가),287,063-220-9311,,일반요양병원,,,
전주늘사랑요양병원,천*****,55086,전라북도 전주시 완산구 용리로 60 (삼천동1가),145,063-224-0081,,일반요양병원,,,
벧엘요양병원,정*****,54930,전라북도 전주시 덕진구 조경단로 77 (금암동),191,063-255-5321,,일반요양병원,,,
한사랑요양병원,김*****,55047,전라북도 전주시 완산구 용머리로 251 (서완산동2가),134,063-231-4800,,일반요양병원,,,
효사랑가족요양병원,김*****,55054,전라북도 전주시 완산구 용머리로 77 (효자동1가),750,063-711-1111,,일반요양병원,,,
의료법인생명의료재단 늘푸른요양병원,이*****,55014,전라북도 전주시 덕진구 진버들7길 33 (우아동2가),175,063-247-0301,,일반요양병원,,,
효사랑전주요양병원,박*****,54995,전라북도 전주시 완산구 팔달로 272 (서노송동),315,063-278-8288,,일반요양병원,,,
한국노인요양병원,고*****,54899,전라북도 전주시 덕진구 백제대로 587 (금암동),128,063-252-3723,,일반요양병원,,,
한마음요양병원,최*****,54985,전라북도 전주시 완산구 백제대로 234 (중화산동2가),133,063-220-1111,,일반요양병원,,,
전주시노인복지병원,유*****,55071,전라북도 전주시 완산구 능안자구길 80 (삼천동3가),191,063-220-9700,,일반요양병원,,,
의료법인계산재단문실버요양병원,문*****,55000,전라북도 전주시 완산구 충경로 91 (경원동3가),180,063-282-8833,,일반요양병원,,,
성모요양병원,박*****,54894,전라북도 전주시 덕진구 가리내로 118 (덕진동1가),243,063-270-5003,,일반요양병원,,,
대자인병원,이*****,54910,전라북도 전주시 덕진구 견훤로 390 (우아동3가),527,063-240-2000,,종합병원,,,
전주고려병원,박*****,54915,전라북도 전주시 덕진구 안덕원로 367 (산정동),281,063-240-7300,,종합병원,,,
의료법인영경의료재단전주병원,최*****,54985,"전라북도 전주시 완산구 한두평3길 13 (중화산동2가, 전주병원)",287,063-220-7200,,종합병원,,,
전북대학교병원,조*****,54907,전라북도 전주시 덕진구 건지로 20 (금암동),1115,063-250-1114,,종합병원,,,
재단법인예수병원유지재단예수병원,이*****,54987,"전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원)",760,063-230-8114,,종합병원,,,
전북대학교치과병원,조*****,54907,"전라북도 전주시 덕진구 건지로 20 (치과병원동,장애인구강진료센터)동 (금암동, 전북대학교병원)",0,063-250-2203,,치과병원,,,
미르치과병원,정*****,54985,전라북도 전주시 완산구 백제대로 218 (중화산동2가),0,063-224-7700,,치과병원,,,
해빛한방병원,최*****,54822,전라북도 전주시 덕진구 사근1길 10-0 (송천동2가),82,063-715-5119,,한방병원,,,
효천한방병원,정*****,55065,전라북도 전주시 완산구 쑥고개로 331-0 (효자동2가),72,063274-0365,,한방병원,,,
다생한방병원,신*****,54939,"전라북도 전주시 덕진구 벚꽃로 48-0, 0동 (진북동,참조은병원)",60,063-714-2000,,한방병원,,,
청담한방병원,김*****,54934,전라북도 전주시 덕진구 팔달로 377-0 (금암동),82,063272-8778,,한방병원,,,
우리들한방병원,문*****,54921,전라북도 전주시 덕진구 백제대로 670-0 (금암동),88,063-278-2200,,한방병원,,,
준한방병원,도*****,54986,전라북도 전주시 완산구 서원로 325-0 (중화산동1가),73,063-715-1234,,한방병원,,,
전일한방병원,함*****,55121,전라북도 전주시 완산구 장승배기로 228 (평화동1가),74,063714-4222,,한방병원,,,
일이삼한방병원,김*****,54904,"전라북도 전주시 덕진구 동부대로 803, 3-4층 (호성동1가)",78,063907-0123,,한방병원,,,
청아람한방병원,김*****,54966,전라북도 전주시 완산구 효자로 174 (효자동2가),71,063-714-4800,,한방병원,,,
동의한방병원,최*****,54899,전라북도 전주시 덕진구 백제대로 625 (금암동),54,063-274-8575,,한방병원,,,
수람한방병원,정*****,55122,전라북도 전주시 완산구 장승배기로 200 (평화동1가),67,714-4001,,한방병원,,,
의료법인 지리산의료재단 어의당한방병원,이*****,54999,전라북도 전주시 완산구 전주객사1길 22 (다가동3가),80,063-900-5555,,한방병원,,,
중경한방병원,채*****,55134,전라북도 전주시 완산구 장승배기로 166 (평화동1가),61,232-2626,063-288-3355,한방병원,,,
덕진한방병원,양*****,54835,전라북도 전주시 덕진구 솔내로 131 (송천동1가),61,225-1075,,한방병원,,,
솔한방병원,이*****,55102,전라북도 전주시 완산구 팔달로 7 (서서학동),72,714-2200,,한방병원,,,
가람한방병원,허*****,54837,"전라북도 전주시 덕진구 송천중앙로 60, 3~6층 (송천동1가)",83,063-270-8600,,한방병원,,,
명인한방병원,안*****,55086,전라북도 전주시 완산구 용리로 42 (삼천동1가),57,714-4848,,한방병원,,,
지리산한방병원,권*****,54950,"전라북도 전주시 완산구 서신로 62, 301호 (서신동, 지리산빌딩)",79,279-0900,,한방병원,,,
전주수한방병원,임*****,55015,전라북도 전주시 덕진구 안덕원로 378 (산정동),115,063-247-9999,,한방병원,,,
누가한방병원,최*****,55008,전라북도 전주시 덕진구 안덕원로 218 (인후동1가),84,063-252-9111,,한방병원,,,
우석대부속전주한방병원,서*****,54987,전라북도 전주시 완산구 어은로 46 (중화산동2가),100,063-220-8300,,한방병원,,,
원광대학교전주한방병원,허*****,54887,전라북도 전주시 덕진구 가련산로 99 (덕진동2가),125,063-270-1114,,한방병원,,,
