지역,설립,학교명,주  소,1학년 학급수,2학년 학급수,3학년 학급수,4학년 학급수,5학년 학급수,6학년 학급수,소계,특수학급수,계,1학년 학생수,2학년 학생수,3학년 학생수,4학년 학생수,5학년 학생수,6학년 학생수,계
전주,국립,전주교대전주부설초,완산구 팔달로 74,3,3,3,3,3,3,18,1,19,72,73,74,72,72,81,444
전주,공립,전주금암초,덕진구 권삼득로 210,2,2,2,2,2,2,12,1,13,48,50,50,45,59,41,293
전주,공립,전주금평초,덕진구 명주3길 16,2,2,2,1,2,2,11,0,11,32,32,38,24,32,37,195
전주,공립,전주기린초,덕진구 견훤로 260,4,4,4,4,4,4,24,1,25,95,91,100,104,107,116,613
전주,공립,전주남초,완산구 장승배기로 376,3,3,3,3,3,3,18,1,19,70,71,71,76,70,76,434
전주,공립,전주대성초,완산구 고덕산1길 20,1,1,1,1,1,1,6,0,6,7,13,6,8,6,9,49
전주,공립,전주대정초,완산구 맏내로 57,6,5,4,4,4,5,28,0,28,152,129,118,112,112,123,746
전주,공립,전주덕일초,덕진구 하가로 71,2,2,3,3,2,3,15,1,16,54,54,67,61,41,61,338
전주,공립,전주덕진초,덕진구 들사평로 61,1,1,1,1,1,2,7,0,7,18,24,26,19,23,35,145
전주,공립,전주동초,완산구 물왕멀로 72,2,2,2,2,2,2,12,1,14,47,52,38,37,35,39,248
전주,공립,전주동북초,덕진구 견훤왕궁로 227,2,2,2,2,2,2,12,1,13,32,29,34,38,37,42,212
전주,공립,전주동신초,덕진구 우아9길 1,3,2,3,2,2,2,14,1,16,66,51,69,48,50,46,330
전주,공립,전주만성초,덕진구 중동로 32,7,7,7,7,7,8,43,0,43,208,195,194,191,190,222,"1,200"
전주,공립,전주만수초,덕진구 호성로 130,4,4,5,4,5,6,28,1,29,100,112,121,107,122,166,728
전주,공립,전주문정초,완산구 구이로 1979,1,1,1,1,1,1,6,0,6,11,8,8,4,9,7,47
전주,공립,전주문학초,완산구 문학로 30,5,5,5,5,6,6,32,0,32,125,126,148,139,163,170,871
전주,공립,전주미산초,덕진구 전미로 160,1,1,1,1,1,1,6,1,7,13,6,6,7,5,6,43
전주,공립,전주반월초,덕진구 혁신로 707,3,3,3,3,3,4,19,1,20,80,81,72,58,84,93,468
전주,공립,전주북초,덕진구 소리로 180,3,5,4,4,4,5,25,0,25,81,124,96,101,111,120,633
전주,공립,전주북일초,덕진구 견훤로 336,5,4,6,4,5,5,29,0,29,132,111,147,106,131,125,752
전주,공립,전주삼천초,완산구 성지산로 38,3,3,3,3,3,3,18,1,19,83,70,84,65,78,70,450
전주,공립,전주삼천남초,완산구 거마남로 65,3,3,3,3,3,3,18,1,19,83,71,84,79,69,84,470
전주,공립,전주새연초,완산구 봉곡로 60,6,5,4,5,4,3,27,0,27,155,144,121,123,95,87,725
전주,공립,전주서곡초,완산구 서곡7길 30,5,5,5,6,5,6,32,0,32,126,146,147,151,145,172,887
전주,공립,전주서문초,완산구 서신천변11길 19,3,3,4,3,4,4,21,0,21,78,67,91,90,92,105,523
전주,공립,전주서신초,완산구 전룡로 119,2,1,2,2,2,2,11,2,13,41,28,33,32,33,42,209
전주,공립,전주서원초,완산구 오두정길 45,3,3,3,3,3,3,18,0,18,85,89,79,80,78,85,496
전주,공립,전주서일초,완산구 새터로 73,5,5,6,5,6,6,33,0,33,126,128,158,121,155,156,844
전주,공립,전주서천초,완산구 당산로 9,2,3,3,3,3,4,18,0,18,59,84,74,79,82,90,468
전주,공립,전주송북초,덕진구 천마산로 16,5,5,5,6,6,6,33,0,33,127,129,121,133,144,156,810
전주,공립,전주송원초,덕진구 와룡로 25,4,4,4,4,4,4,24,0,24,104,113,94,90,94,104,599
전주,공립,전주송천초,덕진구 송천1길 10,5,5,4,4,5,5,28,2,30,121,122,116,116,132,131,738
전주,공립,전주신동초,덕진구 솔내로 211,7,7,7,8,8,8,45,0,45,173,153,146,155,159,179,965
전주,공립,전주신성초,완산구 평화8길 16-36,3,3,3,4,3,4,20,1,21,79,83,87,97,86,102,534
전주,공립,전주아중초,덕진구 인교5길 23,2,2,2,2,3,2,13,0,13,40,48,45,42,61,55,291
전주,공립,전주양지초,완산구 양지2길 11-26,3,3,2,2,3,2,15,1,16,75,71,54,60,66,58,384
전주,공립,전주양현초,덕진구 만성서로 96,8,5,4,4,4,4,29,1,30,168,108,92,81,92,81,622
전주,공립,전주여울초,완산구 고사평8길 11,5,5,5,5,5,5,30,0,30,127,136,126,125,146,139,799
전주,공립,전주오송초,덕진구 천마산로 87,8,7,9,8,8,8,48,0,48,218,208,266,213,229,213,"1,347"
전주,공립,전주온빛초,덕진구 틀못3길 7,11,10,11,9,10,9,60,0,60,291,261,306,236,269,248,"1,611"
전주,공립,전주완산초,완산구 매곡로 22,1,1,1,1,1,1,6,1,7,9,13,12,12,18,23,87
전주,공립,전주완산서초,완산구 안행로 127,2,2,2,3,3,3,15,1,16,43,53,42,71,62,71,342
전주,공립,전주용덕초,덕진구 용덕길 30,1,1,1,1,1,1,6,0,6,19,8,14,6,8,6,61
전주,공립,전주용소초,덕진구 송천4길 38,4,4,4,4,4,4,24,1,25,95,103,98,111,102,111,620
전주,공립,전주용와초,완산구 장승배기로 14,4,4,4,5,5,6,28,1,29,83,85,85,96,92,122,563
전주,공립,전주용흥초,완산구 삼천천변1길 16,5,5,5,5,5,5,30,1,31,127,137,126,134,137,147,808
전주,공립,전주우림초,완산구 소태정로 21,3,4,4,4,5,5,25,0,25,74,95,104,109,141,140,663
전주,공립,전주우전초,완산구 우전2길 11,6,6,6,6,6,7,37,1,38,151,179,157,153,173,187,"1,000"
전주,공립,전주원동초,덕진구 원동로 3,1,2,1,1,1,1,7,0,7,20,34,11,12,8,8,93
전주,공립,전주인봉초,덕진구 무삼지로 7,7,7,8,8,8,8,46,1,47,181,189,217,218,224,226,"1,255"
전주,공립,전주인후초,덕진구 무삼지로 67,6,6,6,5,6,7,36,0,36,178,171,178,148,163,192,"1,030"
전주,공립,전주장동초,덕진구 원장동길 91-12,2,1,1,1,1,1,7,0,7,30,25,18,23,11,20,127
전주,공립,전주전라초,덕진구 심방죽로 24,5,4,4,5,5,5,28,2,30,134,104,107,124,128,125,722
전주,공립,전주전일초,덕진구 태진로 98,2,2,2,2,2,3,13,0,13,51,56,56,54,55,68,340
전주,공립,전주초,완산구 대동로 33,2,2,2,2,2,2,12,1,13,30,29,37,43,29,43,211
전주,공립,전주조촌초,덕진구 쪽구름로 39,5,4,5,5,6,6,31,2,33,141,121,127,135,163,172,859
전주,공립,전주중산초,완산구 중산중앙로 9-10,4,4,4,4,3,5,24,1,25,91,91,111,111,86,124,614
전주,공립,전주중앙초,완산구 경기전길 99,1,1,1,1,2,1,7,2,9,23,26,26,23,31,18,147
전주,공립,전주중인초,완산구 중인1길 80,1,1,1,1,1,1,6,0,6,22,22,16,11,13,10,94
전주,공립,전주지곡초,완산구 평화로 85,8,8,8,7,7,8,46,0,46,202,204,205,183,179,208,"1,181"
전주,공립,전주진북초,덕진구 진북1길 11,2,1,2,2,2,2,11,0,11,37,27,42,32,47,48,233
전주,공립,전주초포초,덕진구 초포로 171,2,1,1,1,1,1,7,1,8,31,15,18,12,17,20,113
전주,공립,전주팔복초,덕진구 팔과정로 181,1,1,1,1,1,1,6,1,7,16,18,9,15,14,11,83
전주,공립,전주평화초,완산구 꽃밭정로 65,3,3,2,2,3,3,16,1,17,71,73,58,48,59,68,377
전주,공립,전주풍남초,완산구 견훤왕궁로 16,2,2,2,2,2,1,11,1,12,48,35,34,31,31,29,208
전주,공립,전주하가초,덕진구 경동로 11,6,5,4,3,3,2,23,1,24,159,133,118,80,60,48,598
전주,공립,전주한들초,완산구 화산천변8길 10,6,5,6,5,6,6,34,0,34,154,141,164,142,166,178,945
전주,공립,전주홍산초,완산구 마전들로 30,3,3,2,2,1,2,13,0,13,75,78,55,51,30,41,330
전주,공립,전주화산초,완산구 따박골7길 20,4,5,5,5,5,5,29,1,30,118,143,132,125,128,127,773
전주,공립,전주화정초,덕진구 세병로 55,13,12,10,9,9,8,61,1,62,330,311,290,239,245,212,"1,627"
전주,공립,전주효림초,완산구 강변로 128,3,3,3,4,4,3,20,0,20,88,81,79,96,96,81,521
전주,공립,전주효문초,완산구 거마평로 105,2,2,2,2,2,2,12,0,12,54,44,52,35,50,46,281
전주,공립,전주효자초,완산구 송정로 47,1,2,2,2,2,2,11,0,11,21,35,36,29,38,44,203
